15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Program flow analyzer: cursor loops detected: 0
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Program flow analyzer: output writes detected: 4
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Program flow analyzer: DB2 date usages detected: 16
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Qualified field rewrite: CT-RK-TGOOD OF VMBFAR -> CT-TGDSERV-479BFAR OF DCLDZBFARTV
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Qualified field rewrite: NR-CIO-FORM-AS OF VMBFAR -> NR-CIOFMAS-479BFAR OF DCLDZBFARTV
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Qualified field rewrite: DA-CR-FORM-AS OF VMBFAR -> DA-CRFMAS-479BFAR OF DCLDZBFARTV
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Qualified field rewrite: NR-ID-FORM-AS OF VMBFAR -> NR-IDFMAS-479BFAR OF DCLDZBFARTV
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Qualified field rewrite: CT-OPG-FORM-AS OF VMBFAR -> CT-OPGFMAS-479BFAR OF DCLDZBFARTV
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Qualified field rewrite: CT-OPD-FORM-AS OF VMBFAR -> CT-OPDFMAS-479BFAR OF DCLDZBFARTV
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Field usage analyzer: records with usage detected: 2
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Field usage analyzer: record=FFRECAB, condition=0, output=0, move_source=0, move_target=6, dclgen=6
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Field usage analyzer: record=VMBFAR, condition=0, output=0, move_source=0, move_target=0, dclgen=8
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | DB2 infrastructure: no operation-specific DCLGEN includes resolved.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | DB2 infrastructure: generated infrastructure block inserted.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | DB2 cursor paragraphs: no cursor operations found.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Timestamp generator: timestamp working storage and paragraph ensured.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Cleanup: removed redundant CONTINUE after removed IDMS statement.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Cleanup: removed residual IDMS conversion comment noise.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Cleanup: added missing DCLGEN include DZ01RSTV.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Cleanup: added missing DCLGEN include DZBFARTV.
15-09-2026 15:26:09 | WARNING | idms_db2_update_conversion | Mapping gap: source field 'VMBFAR' in record VMBFAR has no deterministic DB2 column. Manual mapping required.
